filename,label,query,bbc_id,description,n_samples,duration_ms,sample_rate,rms_db,status
jack_in_box.wav,jack_in_box,jack in the box,07070123,Weaving - Spinning jack,9600,200,48000,-20.0,OK
music_box.wav,music_box,music box playing,07020141,"Samoyed puppies playing in box, interior",9600,200,48000,-20.0,OK
toy_train.wav,toy_train,toy train,NHU05075079,"Warning bells at crossing, train hooter ",9600,200,48000,-20.0,OK
rattle.wav,rattle,baby rattle shaking,07036124,"Rattle, Bobby (suction cup rattle).",9600,200,48000,-20.0,OK
squeaky_toy.wav,squeaky_toy,squeaky toy,07036128,Toy Rabbit squeaker.,9600,200,48000,-20.0,OK
toy_horn.wav,toy_horn,toy horn squeezing,07036130,Toy Pussycat squeaker.,9600,200,48000,-20.0,OK
pop_gun.wav,pop_gun,pop gun toy,07036132,"Clockwork Toy, Whimpsy Pal operating.",9600,200,48000,-20.0,OK
pinball.wav,pinball,pinball machine,07013138,"Ultimate ticket machine, setting machine",9600,200,48000,-20.0,OK
arcade_game.wav,arcade_game,arcade game,07025131,Atmosphere: Amusement arcade.,9600,200,48000,-20.0,OK
slot_machine.wav,slot_machine,slot machine,07032199,Jackpot won on Slot Machine.,9600,200,48000,-20.0,OK
cloth_rip.wav,cloth_rip,cloth ripping fabric,07005055,Three whooshes with ripping fabric. (Spe,9600,200,48000,-20.0,OK
cloth_flap.wav,cloth_flap,cloth flapping wind,07039050,"China, two black-cloth merchants selling",9600,200,48000,-20.0,OK
rope_pull.wav,rope_pull,rope pulling taut,07027188,Bo'Sun's Pipe: Haul taut,9600,200,48000,-20.0,OK
rope_coil.wav,rope_coil,rope coiling,07004233,"Bucket clipped to rope, free run down we",9600,200,48000,-20.0,OK
leather_creak.wav,leather_creak,leather creaking,07055114,Leather stitching machine.,9600,200,48000,-20.0,OK
rubber_stretch.wav,rubber_stretch,rubber stretching,07072040,Man climbing ladder (rubber boots).,9600,200,48000,-20.0,OK
plastic_crinkle.wav,plastic_crinkle,plastic bag crinkling,07043163,Bag of bottles break.,9600,200,48000,-20.0,OK
cardboard_box.wav,cardboard_box,cardboard box opening,07071135,Signal box opening with signal received ,9600,200,48000,-20.0,OK
tape_peel.wav,tape_peel,tape peeling sticky,NHU05042077,Cu - mcu song. Some tape weave.,9600,200,48000,-20.0,OK
bubble_wrap.wav,bubble_wrap,bubble wrap popping,NHU10220021,bubble-netting and feeding,9600,200,48000,-20.0,OK
campfire.wav,campfire,campfire burning,07059050,Open fire burning.,9600,200,48000,-20.0,OK
bonfire.wav,bonfire,bonfire large roaring,NHU05002100,Large roaring fire. Occasional voices in,9600,200,48000,-20.0,OK
fire_whoosh.wav,fire_whoosh,fire whoosh igniting,NHU05008080,Cu sounds of a small fire. Some loud cra,9600,200,48000,-20.0,OK
gas_flame.wav,gas_flame,gas flame burner,07002072,A gas stove burner roar. (Natural gas),9600,200,48000,-20.0,OK
candle_blow.wav,candle_blow,candle blowing out,07043153,"Fireworks, Roman Candle.",9600,200,48000,-20.0,OK
torch_flame.wav,torch_flame,torch flame burning,07001036,Small spring-steel tools heated in blow ,9600,200,48000,-20.0,OK
furnace.wav,furnace,furnace roaring,00008049,Furnace,9600,200,48000,-20.0,OK
welding_torch.wav,welding_torch,welding torch hissing,07041027,Acetylene torch burns.,9600,200,48000,-20.0,OK
sparkler.wav,sparkler,sparkler firework,07024183,Atmosphere at a firework display.,9600,200,48000,-20.0,OK
ember_crack.wav,ember_crack,ember cracking fire,NHU05002102,Cu fast burning fire.,9600,200,48000,-20.0,OK
choir_singing.wav,choir_singing,choir singing church,07060098,"Exterior, group of children singing 'Lon",9600,200,48000,-20.0,OK
organ_note.wav,organ_note,organ single note,NHU05091137,Long call note (single bird),9600,200,48000,-20.0,OK
hymn_singing.wav,hymn_singing,congregation singing hymn,07048071,"Singing in temple leader on PA, congrega",9600,200,48000,-20.0,OK
prayer_bell.wav,prayer_bell,prayer bell tibetan,NHU05008143,Cu rattling & creaking sounds from praye,9600,200,48000,-20.0,OK
